name,co2 uptake,co2 error,n2 uptake,n2 error
1540020_A_pacman,0.05232144,0.000935145,0.06518496,0.001173527
1540020_R_pacman,0.1526291,0.0176895,0.08525092,0.0100765
1540551_F_pacman,0.189347,0.0163701,0.1739494,0.006956156
1540551_R_pacman,0.1163296,0.0108855,0.0821131,0.003668718
1540636_A_pacman,0.06378268,0.00399785,0.09211671,0.004369307
1540636_F_pacman,0,0,0,0
1540636_R_pacman,0,0,0,0
1540642_R_pacman,0.1379457,0.02621891,0.05710217,0.004533393
1540664_F_pacman,0.1592911,0.007229164,0.1495532,0.008569089
1540664_R_pacman,0,0,0,0
1540665_R_pacman,0.2346946,0.01323013,0.1831784,0.01586169
1540666_F_pacman,0.2179959,0.01382085,0.1738064,0.005823126
1540666_R_pacman,0,0,0,0
1540667_F_pacman,0.1838369,0.001560129,0.1623192,0.01205849
1540667_R_pacman,0,0,0,0
1541433_A_pacman,0.3838177,0.05263502,0.1058272,0.005112404
1541433_F_pacman,0.1207511,0.03595244,0.01312032,0.003273072
1541433_R_pacman,0,0,0,0
1542258_F_pacman,0.0358793,0.00208802,0.06728737,0.001968413
1542258_R_pacman,0,0,0,0
1542319_A_pacman,0.2287244,0.01890786,0.1449466,0.01089895
1542319_R_pacman,0.2096306,0.01850176,0.1164957,0.01197013
1542825_A_pacman,0.07348517,0.005408489,0.07964733,0.003870947
1542825_F_pacman,0.06914633,0.009487767,0.06457654,0.008689927
1542825_R_pacman,0.000286183,0.000406469,0.0003304,0.000311352
1543204_A_pacman,0.04894457,0.002024476,0.07887958,0.002414413
1543204_F_pacman,0.2437867,0.02427976,0.08927734,0.01212679
1543204_R_pacman,0,0,0,0
1543205_A_pacman,0.04714988,0.001362863,0.07770076,0.002910519
1543205_F_pacman,0.2558091,0.03166202,0.08817726,0.00974263
1543205_R_pacman,0,0,0,0
1543206_A_pacman,0.04597204,0.002173714,0.07412689,0.002081539
1543206_F_pacman,0.2311324,0.02406009,0.0839725,0.006682795
1543206_R_pacman,0,0,0,0
1543560_A_pacman,0.001079543,0.001887579,0.002617823,0.001442233
1543560_F_pacman,0,0,0,0
1543560_R_pacman,0,0,0,0
1544064_A_pacman,0.04732856,0.003913957,0.1372025,0.003156789
1544064_R_pacman,0.04615469,0.002198674,0.1316341,0.005960254
1544436_F_pacman,0.04830658,0.002369616,0.07192397,0.003238509
1544436_R_pacman,0,0,0,0
1544800_R_pacman,0.09161877,0.009194833,0.06826122,0.003385704
1544801_R_pacman,0.1282267,0.01806359,0.09882921,0.01066055
1544985_F_pacman,0.08176177,0.01859431,0.04100312,0.01199402
1544985_R_pacman,0,0,0,0
1545241_R_pacman,0.4727541,0.03382827,0.09299113,0.02053815
1545640_F_pacman,0.2075808,0.01708406,0.1316522,0.01241461
1545640_R_pacman,0,0,0,0
1546080_F_pacman,0.2922737,0.03882102,0.1052277,0.01164884
1546080_R_pacman,0.04489474,0.005875168,0.0494687,0.010802
1546081_F_pacman,0.2282469,0.01292327,0.1047907,0.005999522
1546081_R_pacman,0.01914684,0.00210725,0.01291883,0.002175766
1546082_R_pacman,0.2823323,0.02113371,0.1185615,0.01440835
1546251_F_pacman,0.0789211,0.009448678,0.06173307,0.009525265
1546251_R_pacman,0,0,0,0
1546382_A_pacman,0.09142483,0.006131554,0.07965757,0.006932811
1546382_R_pacman,0,0,0,0
1546475_A_pacman,0.01934279,0.001766356,0.02386402,0.001960051
1546475_F_pacman,0.05197724,0.01620843,0.0676988,0.01696905
