name,KH,error
1540551_R_pacman,0.06501646,0.07346222
1540636_A_pacman,0.0003692363,0.0001266743
1540636_F_pacman,66.98189,56.72073
1540636_R_pacman,3.250301e-14,5.463641e-14
1540642_R_pacman,1.313422,1.01216
1540664_F_pacman,0.0006181344,0.0003663138
1540664_R_pacman,1.217168e-09,1.151558e-09
1540665_R_pacman,0.001805374,0.0004859223
1540666_F_pacman,0.001222673,0.001058176
1540666_R_pacman,4.007447e-17,4.755734e-17
1540667_F_pacman,0.0006556646,0.0002834003
1540667_R_pacman,5.406368e-11,1.344631e-10
1541433_A_pacman,0.7780852,0.4390668
1541433_F_pacman,0.2479938,0.01627338
1541433_R_pacman,1.107024e-10,1.50407e-10
1542258_F_pacman,4.367966e-05,4.983147e-06
1542258_R_pacman,1.229195e-10,2.34306e-11
1542319_A_pacman,0.120392,0.02170063
1542319_R_pacman,0.01384044,0.003138278
1542825_A_pacman,0.5433842,0.4829451
1542825_F_pacman,0.003422822,0.0005811123
1542825_R_pacman,0.00017896,7.373027e-05
1543204_A_pacman,5004425000000.0,12768930000000.0
1543204_F_pacman,0.001897752,0.0004617937
1543204_R_pacman,1.069493e-19,7.442904e-20
1543205_A_pacman,120941000000.0,295260600000.0
1543205_F_pacman,0.004144639,0.003378939
1543205_R_pacman,7.50195e-20,9.10648e-20
1543206_A_pacman,1144445000000.0,2774702000000.0
1543206_F_pacman,0.003902297,0.001371744
1543206_R_pacman,1.708014e-20,3.19923e-20
1543560_A_pacman,494.4657,182.5033
1543560_F_pacman,17.28064,21.70262
1543560_R_pacman,5.903663e-19,7.930713e-19
1544064_A_pacman,4.169055e-06,6.042664e-07
1544064_R_pacman,1.294299e-05,1.450426e-06
1544436_F_pacman,2.027977e-05,2.096263e-06
1544436_R_pacman,1.913893e-33,2.750758e-33
1544800_R_pacman,1.698131e-06,3.331026e-08
1544801_R_pacman,4.903519e-05,1.31198e-05
1544985_F_pacman,9.359133e-06,3.436826e-07
1544985_R_pacman,7.226808e-32,5.720765e-32
1545241_R_pacman,3.216346e-06,1.077334e-07
1545640_F_pacman,9.4972e-06,3.296259e-07
