name,LCD_0,PLD_0,LFPD_0,volume_0,density_0,VF_0,PV_0,LCD_1,PLD_1,LFPD_1,volume_1,density_1,VF_1,PV_1,delta_PLD,delta_LCD,delta_PV
MAGVOG25_clean,3.56704,3.00238,3.56704,308.596,1.80765,0.5074,0.280696,2.85719,1.98389,2.73118,292.508,1.90708,0.4588,0.240578,1.01849,0.70985,0.040118
MAGVOG26_clean,3.57311,3.00888,3.57311,308.932,1.80569,0.508,0.281333,3.4722,2.37443,3.40352,312.662,1.78414,0.4998,0.280134,0.63445,0.10091,0.001199
MAGVOG27_clean,3.59124,3.01562,3.59124,309.494,1.80241,0.508,0.281845,2.26742,1.28211,2.26742,263.019,2.1209,0.4036,0.190297,1.73351,1.32382,0.091548
MAGVOG28_clean,3.62042,3.02827,3.62042,309.896,1.80007,0.5098,0.283211,1.58924,0.93233,1.56003,240.468,2.31979,0.336,0.144841,2.09594,2.03118,0.13837
MAGVOG29_clean,3.632,3.03778,3.632,310.055,1.79915,0.51,0.283468,3.54593,2.32172,3.51554,309.253,1.80381,0.4662,0.258453,0.71606,0.08607,0.025015
MAGVOG30_clean,3.65061,3.03835,3.65061,310.624,1.79585,0.5108,0.284433,2.82918,2.44545,2.82918,270.421,2.06284,0.4066,0.197107,0.5929,0.82143,0.087326
MAGVOG31_clean,3.66117,3.04425,3.66117,311.21,1.79247,0.5114,0.285305,2.57575,1.87652,2.57575,270.531,2.062,0.4168,0.202134,1.16773,1.08542,0.083171
MAGVOG32_clean,3.68832,3.05964,3.68832,311.303,1.79194,0.5132,0.286394,2.87702,2.14489,2.87702,270.429,2.06278,0.4028,0.19527,0.91475,0.8113,0.091124
MAGVOG33_clean,3.71052,3.06345,3.71052,312.045,1.78767,0.5144,0.287748,2.65343,1.69121,2.65343,262.742,2.12313,0.3882,0.182843,1.37224,1.05709,0.104905
MAGVOG34_clean,3.72938,3.07015,3.72938,312.784,1.78345,0.5158,0.289214,3.00875,2.62325,3.00875,272.818,2.04471,0.402,0.196605,0.4469,0.72063,0.092609
MAGVOG35_clean,3.73829,3.07384,3.73829,312.848,1.78309,0.5162,0.289498,2.65364,1.68951,2.46598,262.488,2.12519,0.3868,0.182008,1.38433,1.08465,0.10749
MAPHAP_clean,4.44624,2.68084,4.43788,1079.2,1.52115,0.5052,0.332117,3.30982,1.49647,3.30407,875.515,1.87504,0.382,0.203729,1.18437,1.13642,0.128388
MAWFEY_clean,8.76979,6.5651,8.76979,23642.4,1.23234,0.723,0.586689,12.68714,6.98355,12.55799,18495,1.57532,0.6528,0.414393,0.41845,3.91735,0.172296
MAWFIC_clean,9.46149,6.77002,9.46149,20506.4,1.3222,0.7232,0.546966,11.49788,9.47534,11.39654,20959,1.29365,0.7374,0.570015,2.70532,2.03639,0.023049
MAXHOJ_clean,7.21422,7.14904,7.21308,1479.71,2.35131,0.4756,0.20227,3.80869,3.27005,3.80869,1382.78,2.51613,0.3692,0.146733,3.87899,3.40553,0.055537
MAXHOJ01_clean,7.81714,7.80251,7.81714,1511.3,2.30216,0.482,0.209369,2.73934,2.10151,2.67624,1260.84,2.75947,0.3038,0.110093,5.701,5.0778,0.099276
MAYJOM_clean,6.52608,6.14777,6.5107,6278.19,1.25239,0.6214,0.496171,1.74341,1.04033,1.68035,3363.89,2.3374,0.2654,0.113545,5.10744,4.78267,0.382626
MEFZUU_manual,9.38956,5.60914,9.23679,43952.4,0.843227,0.6944,0.823503,8.62716,5.61087,8.04364,40698.3,0.910648,0.6598,0.724539,0.00173,0.7624,0.098964
MEGBAD_clean,9.5163,5.76215,9.5163,5433.79,0.851407,0.6808,0.799618,8.16066,6.32775,8.16066,5243.65,0.88228,0.668,0.757129,0.5656,1.35564,0.042489
MEGBEH_manual,9.94956,6.8157,9.94876,5608.48,0.994874,0.6826,0.686117,11.35907,7.02659,11.35907,5554.29,1.00458,0.6802,0.677099,0.21089,1.40951,0.009018
MIHBAG_clean,4.75314,2.85433,4.75267,1824.82,1.28353,0.4942,0.385033,4.05175,2.32437,4.01363,1637.04,1.43076,0.4158,0.290616,0.52996,0.70139,0.094417
MIJFIU_clean,7.7548,2.75421,7.7548,6074.33,1.00618,0.5232,0.519984,5.89767,1.87984,5.89767,5471.39,1.11707,0.4646,0.415911,0.87437,1.85713,0.104073
MIKJAR_clean,5.99502,4.85131,5.99502,2198.39,1.96036,0.4024,0.205268,5.43778,4.57745,5.43778,2136.31,2.01733,0.3708,0.183807,0.27386,0.55724,0.021461
MITGUR01_clean,3.70587,2.68143,3.6977,1308.52,2.08145,0.4106,0.197267,3.37568,2.51844,3.37568,1156.23,2.3556,0.3276,0.139073,0.16299,0.33019,0.058194
MODMIB_clean,4.79205,3.60409,4.64994,2071.53,1.39523,0.644,0.461572,9.47782,6.79468,9.35021,5984.21,0.482982,0.8606,1.78185,3.19059,4.68577,1.320278
